hidden_dim,type,accuracy,f1_macro,roc_auc,val_acc,params,time_s
64,euclidean,0.8583,0.8575070036765808,0.93483005611365,0.8642666935920715,1327809,17.9424569606781
64,hyperbolic,0.8575,0.8566655512731916,0.9340017397096213,0.8650000095367432,1623809,62.03856039047241
128,euclidean,0.85925,0.8585559336126269,0.9336529197950609,0.8632000088691711,1606529,16.47709035873413
128,hyperbolic,0.85585,0.8549086031269401,0.9325346199032912,0.8630000352859497,1623809,58.42471766471863
256,euclidean,0.86035,0.859478547429292,0.9357342552473313,0.8655999898910522,2163969,13.836170196533203
256,hyperbolic,0.8611,0.8600601856055308,0.9344480497760903,0.8636666536331177,1623809,58.13620448112488
512,euclidean,0.85905,0.8586293229227946,0.9344179242367657,0.8648666739463806,3278849,15.53854751586914
512,hyperbolic,0.85595,0.8552045841494881,0.9323470803660382,0.8600000143051147,1623809,62.53044056892395
